Number,Data Element,Variable Code,Variable
E02_10,Type of Turn-Around Delay,370,Staff Delay
E02_10,Type of Turn-Around Delay,375,Vehicle Failure
E02_11,EMS Unit/Vehicle  Number,-25,Not Applicable
E02_11,EMS Unit/Vehicle  Number,-10,Not Known
E02_11,EMS Unit/Vehicle  Number,-5,Not Available
E02_11,EMS Unit/Vehicle  Number,10001,Relevant Value for Data Element & Patient Care
E02_12,EMS Unit Call Sign (Radio Number),10001,Relevant Value for Data Element & Patient Care
E02_13,Vehicle Dispatch  Location,-25,Not Applicable
E02_13,Vehicle Dispatch  Location,-10,Not Known
E02_13,Vehicle Dispatch  Location,-5,Not Available
E02_13,Vehicle Dispatch  Location,10001,Relevant Value for Data Element & Patient Care
E02_14,Vehicle Dispatch Zone,-25,Not Applicable
E02_14,Vehicle Dispatch Zone,-10,Not Known
E02_14,Vehicle Dispatch Zone,-5,Not Available
E02_14,Vehicle Dispatch Zone,10001,Relevant Value for Data Element & Patient Care
E02_15,Vehicle Dispatch  GPS Location,10001,Relevant Value for Data Element & Patient Care
E02_16,Beginning Odometer  Reading of  Responding Vehicle,10001,Relevant Value for Data Element & Patient Care
E02_17,On-Scene Odometer  Reading of  Responding Vehicle,10001,Relevant Value for Data Element & Patient Care
E02_18,Patient Destination  Odometer Reading  of Responding  Vehicle,10001,Relevant Value for Data Element & Patient Care
E02_19,Ending Odometer  Reading of  Responding Vehicle,10001,Relevant Value for Data Element & Patient Care
E02_20,Response Mode to  Scene,380,"Initial Lights and Sirens, Downgraded to No Lights or Sirens"
E02_20,Response Mode to  Scene,385,"Initial No Lights or Sirens, Upgraded to Lights and Sirens "
E02_20,Response Mode to  Scene,390,Lights and Sirens
E02_20,Response Mode to  Scene,395,No Lights or Sirens
E03_01,Complaint Reported  by Dispatch,-25,Not Applicable
E03_01,Complaint Reported  by Dispatch,-15,Not Reporting
E03_01,Complaint Reported  by Dispatch,-10,Not Known
E03_01,Complaint Reported  by Dispatch,-5,Not Available
E03_01,Complaint Reported  by Dispatch,400,Abdominal Pain
E03_01,Complaint Reported  by Dispatch,405,Allergies
E03_01,Complaint Reported  by Dispatch,410,Animal Bite
E03_01,Complaint Reported  by Dispatch,415,Assault
E03_01,Complaint Reported  by Dispatch,420,Back Pain
E03_01,Complaint Reported  by Dispatch,425,Breathing Problem
E03_01,Complaint Reported  by Dispatch,430,Burns
E03_01,Complaint Reported  by Dispatch,435,CO Poisoning/Hazmat
E03_01,Complaint Reported  by Dispatch,440,Cardiac Arrest
E03_01,Complaint Reported  by Dispatch,445,Chest Pain
E03_01,Complaint Reported  by Dispatch,450,Choking
E03_01,Complaint Reported  by Dispatch,455,Convulsions/Seizure
E03_01,Complaint Reported  by Dispatch,460,Diabetic Problem
E03_01,Complaint Reported  by Dispatch,465,Drowning
E03_01,Complaint Reported  by Dispatch,470,Electrocution
E03_01,Complaint Reported  by Dispatch,475,Eye Problem
E03_01,Complaint Reported  by Dispatch,480,Fall Victim
E03_01,Complaint Reported  by Dispatch,485,Headache
E03_01,Complaint Reported  by Dispatch,490,Heart Problems
E03_01,Complaint Reported  by Dispatch,495,Heat/Cold Exposure
E03_01,Complaint Reported  by Dispatch,500,Hemorrhage/Laceration
E03_01,Complaint Reported  by Dispatch,505,Industrial Accident/Inaccessible Incident/Other Entrapments (non-vehicle)
E03_01,Complaint Reported  by Dispatch,510,Ingestion/Poisoning
E03_01,Complaint Reported  by Dispatch,515,Pregnancy/Childbirth
E03_01,Complaint Reported  by Dispatch,520,Psychiatric Problem
E03_01,Complaint Reported  by Dispatch,525,Sick Person
E03_01,Complaint Reported  by Dispatch,530,Stab/Gunshot Wound
E03_01,Complaint Reported  by Dispatch,535,Stroke/CVA
E03_01,Complaint Reported  by Dispatch,540,Traffic Accident
E03_01,Complaint Reported  by Dispatch,545,Traumatic Injury
E03_01,Complaint Reported  by Dispatch,550,Unconscious/Fainting
E03_01,Complaint Reported  by Dispatch,555,Unknown Problem Man Down
E03_01,Complaint Reported  by Dispatch,560,Transfer/Interfacility/Palliative Care
E03_01,Complaint Reported  by Dispatch,565,MCI (Mass Casualty Incident)
E03_02,EMD Performed,-25,Not Applicable
E03_02,EMD Performed,-15,Not Reporting
E03_02,EMD Performed,-10,Not Known
E03_02,EMD Performed,-5,Not Available
E03_02,EMD Performed,0,No
E03_02,EMD Performed,570,"Yes, With Pre-Arrival Instructions"
E03_02,EMD Performed,575,"Yes, Without Pre-Arrival Instructions"
E03_03,EMD Card Number,-25,Not Applicable
E03_03,EMD Card Number,-10,Not Known
E03_03,EMD Card Number,-5,Not Available
E03_03,EMD Card Number,10001,Relevant Value for Data Element & Patient Care
E04_01,Crew Member ID,-25,Not Applicable
E04_01,Crew Member ID,-10,Not Known
E04_01,Crew Member ID,-5,Not Available
E04_01,Crew Member ID,10001,Relevant Value for Data Element & Patient Care
E04_02,Crew Member Role,-25,Not Applicable
E04_02,Crew Member Role,-10,Not Known
E04_02,Crew Member Role,-5,Not Available
E04_02,Crew Member Role,580,Driver
E04_02,Crew Member Role,585,Primary Patient Caregiver
E04_02,Crew Member Role,590,Secondary Patient Caregiver
E04_02,Crew Member Role,595,Third Patient Caregiver
E04_02,Crew Member Role,600,Other
E04_03,Crew Member Level,-25,Not Applicable
E04_03,Crew Member Level,-10,Not Known
E04_03,Crew Member Level,-5,Not Available
E04_03,Crew Member Level,635,Student
E04_03,Crew Member Level,640,Other Healthcare Professional
E04_03,Crew Member Level,645,Other Non-Healthcare Professional
E04_03,Crew Member Level,6090,EMT-Basic
E04_03,Crew Member Level,6100,EMT-Intermediate
E04_03,Crew Member Level,6110,EMT-Paramedic
E04_03,Crew Member Level,6111,Nurse
E04_03,Crew Member Level,6112,Physician
E04_03,Crew Member Level,6120,First Responder
E05_01,Incident or Onset  Date/Time ,10001,Relevant Value for Data Element & Patient Care
E05_02,PSAP Call Date/Time,10001,Relevant Value for Data Element & Patient Care
E05_03,Dispatch Notified Date/Time ,10001,Relevant Value for Data Element & Patient Care
E05_04,Unit Notified by Dispatch Date/Time ,10001,Relevant Value for Data Element & Patient Care
E05_05,Unit En Route Date/Time,10001,Relevant Value for Data Element & Patient Care
E05_06,Unit Arrived on Scene Date/Time ,10001,Relevant Value for Data Element & Patient Care
E05_07,Arrived at Patient Date/Time ,10001,Relevant Value for Data Element & Patient Care
E05_08,Transfer of Patient Care Date/Time,10001,Relevant Value for Data Element & Patient Care
E05_09,Unit Left Scene Date/Time ,10001,Relevant Value for Data Element & Patient Care
E05_10,Patient Arrived at Destination Date/Time ,10001,Relevant Value for Data Element & Patient Care
E05_11,Unit Back in Service Date/Time ,10001,Relevant Value for Data Element & Patient Care
E05_12,Unit Cancelled Date/Time,10001,Relevant Value for Data Element & Patient Care
E05_13,Unit Back at Home Location Date/Time ,10001,Relevant Value for Data Element & Patient Care
E06_01,Last Name,-25,Not Applicable
E06_01,Last Name,-10,Not Known
E06_01,Last Name,-5,Not Available
E06_01,Last Name,10001,Relevant Value for Data Element & Patient Care
E06_02,First Name,-25,Not Applicable
E06_02,First Name,-10,Not Known
E06_02,First Name,-5,Not Available
E06_02,First Name,10001,Relevant Value for Data Element & Patient Care
E06_03,Middle Initial/Name,-25,Not Applicable
E06_03,Middle Initial/Name,-10,Not Known
E06_03,Middle Initial/Name,-5,Not Available
E06_03,Middle Initial/Name,10001,Relevant Value for Data Element & Patient Care
E06_04,Patient's Home Address,-25,Not Applicable
E06_04,Patient's Home Address,-10,Not Known
E06_04,Patient's Home Address,-5,Not Available
E06_04,Patient's Home Address,10001,Relevant Value for Data Element & Patient Care
E06_05,Patient's Home City,-25,Not Applicable
E06_05,Patient's Home City,-10,Not Known
E06_05,Patient's Home City,-5,Not Available
E06_05,Patient's Home City,10001,Relevant Value for Data Element & Patient Care
E06_06,Patient's Home County,-25,Not Applicable
E06_06,Patient's Home County,-10,Not Known
E06_06,Patient's Home County,-5,Not Available
E06_06,Patient's Home County,10001,Relevant Value for Data Element & Patient Care
E06_07,Patient's Home State,-25,Not Applicable
E06_07,Patient's Home State,-10,Not Known
E06_07,Patient's Home State,-5,Not Available
E06_07,Patient's Home State,10001,Relevant Value for Data Element & Patient Care
E06_08,Patient's Home Zip Code,-25,Not Applicable
E06_08,Patient's Home Zip Code,-15,Not Reporting
E06_08,Patient's Home Zip Code,-10,Not Known
E06_08,Patient's Home Zip Code,-5,Not Available
E06_08,Patient's Home Zip Code,10001,Relevant Value for Data Element & Patient Care
E06_09,Patient’s Home  Country,-25,Not Applicable
E06_09,Patient’s Home  Country,-10,Not Known
E06_09,Patient’s Home  Country,-5,Not Available
E06_09,Patient’s Home  Country,10001,Relevant Value for Data Element & Patient Care
E06_10,Social Security  Number,-25,Not Applicable
E06_10,Social Security  Number,-10,Not Known
E06_10,Social Security  Number,-5,Not Available
E06_10,Social Security  Number,10001,Relevant Value for Data Element & Patient Care
E06_11,Gender,-25,Not Applicable
E06_11,Gender,-15,Not Reporting
E06_11,Gender,-10,Not Known
E06_11,Gender,-5,Not Available
E06_11,Gender,650,Male
E06_11,Gender,655,Female
E06_12,Race,-25,Not Applicable
E06_12,Race,-15,Not Reporting
E06_12,Race,-10,Not Known
E06_12,Race,-5,Not Available
E06_12,Race,660,American Indian or Alaska Native
E06_12,Race,665,Asian
E06_12,Race,670,Black or African American
E06_12,Race,675,Native Hawaiian or Other Pacific Islander
E06_12,Race,680,White
E06_12,Race,685,Other Race
E06_13,Ethnicity,-25,Not Applicable
E06_13,Ethnicity,-15,Not Reporting
E06_13,Ethnicity,-10,Not Known
E06_13,Ethnicity,-5,Not Available
E06_13,Ethnicity,690,Hispanic or Latino
E06_13,Ethnicity,695,Not Hispanic or Latino
E06_14,Age,10001,Relevant Value for Data Element & Patient Care
E06_15,Age Units,-25,Not Applicable
E06_15,Age Units,-15,Not Reporting
E06_15,Age Units,-10,Not Known
E06_15,Age Units,-5,Not Available
E06_15,Age Units,700,Hours
E06_15,Age Units,705,Days
E06_15,Age Units,710,Months
E06_15,Age Units,715,Years
E06_16,Date of Birth,10001,Relevant Value for Data Element & Patient Care
E06_17,Primary or Home Telephone Number,-25,Not Applicable
E06_17,Primary or Home Telephone Number,-10,Not Known
E06_17,Primary or Home Telephone Number,-5,Not Available
E06_17,Primary or Home Telephone Number,10001,Relevant Value for Data Element & Patient Care
E06_18,State Issuing Driver's License,-25,Not Applicable
E06_18,State Issuing Driver's License,-10,Not Known
E06_18,State Issuing Driver's License,-5,Not Available
E06_18,State Issuing Driver's License,10001,Relevant Value for Data Element & Patient Care
E06_19,Driver's License Number,-25,Not Applicable
E06_19,Driver's License Number,-10,Not Known
E06_19,Driver's License Number,-5,Not Available
E06_19,Driver's License Number,10001,Relevant Value for Data Element & Patient Care
E07_01,Primary Method of Payment,-25,Not Applicable
E07_01,Primary Method of Payment,-10,Not Known
E07_01,Primary Method of Payment,-5,Not Available
E07_01,Primary Method of Payment,720,Insurance
E07_01,Primary Method of Payment,725,Medicaid
E07_01,Primary Method of Payment,730,Medicare
E07_01,Primary Method of Payment,735,Not Billed (for any reason)
E07_01,Primary Method of Payment,740,Other Government
E07_01,Primary Method of Payment,745,Self Pay
E07_01,Primary Method of Payment,750,Workers Compensation
E07_02,Certificate of Medical Necessity,-25,Not Applicable
E07_02,Certificate of Medical Necessity,-10,Not Known
E07_02,Certificate of Medical Necessity,-5,Not Available
E07_02,Certificate of Medical Necessity,0,No
E07_02,Certificate of Medical Necessity,1,Yes
E07_03,Insurance Company ID/Name,-25,Not Applicable
E07_03,Insurance Company ID/Name,-10,Not Known
E07_03,Insurance Company ID/Name,-5,Not Available
E07_03,Insurance Company ID/Name,10001,Relevant Value for Data Element & Patient Care
E07_04,Insurance Company Billing Priority,-25,Not Applicable
E07_04,Insurance Company Billing Priority,-10,Not Known
E07_04,Insurance Company Billing Priority,-5,Not Available
E07_04,Insurance Company Billing Priority,755,Primary
E07_04,Insurance Company Billing Priority,760,Secondary
E07_04,Insurance Company Billing Priority,765,Other
E07_05,Insurance Company Address,-25,Not Applicable
E07_05,Insurance Company Address,-10,Not Known
E07_05,Insurance Company Address,-5,Not Available
E07_05,Insurance Company Address,10001,Relevant Value for Data Element & Patient Care
E07_06,Insurance Company City,-25,Not Applicable
E07_06,Insurance Company City,-10,Not Known
E07_06,Insurance Company City,-5,Not Available
E07_06,Insurance Company City,10001,Relevant Value for Data Element & Patient Care
E07_07,Insurance Company State,-25,Not Applicable
E07_07,Insurance Company State,-10,Not Known
E07_07,Insurance Company State,-5,Not Available
E07_07,Insurance Company State,10001,Relevant Value for Data Element & Patient Care
E07_08,Insurance Company Zip Code,-25,Not Applicable
E07_08,Insurance Company Zip Code,-10,Not Known
E07_08,Insurance Company Zip Code,-5,Not Available
E07_08,Insurance Company Zip Code,10001,Relevant Value for Data Element & Patient Care
E07_09,Insurance Group ID/Name,-25,Not Applicable
E07_09,Insurance Group ID/Name,-10,Not Known
E07_09,Insurance Group ID/Name,-5,Not Available
E07_09,Insurance Group ID/Name,10001,Relevant Value for Data Element & Patient Care
E07_10,Insurance Policy ID Number,-25,Not Applicable
E07_10,Insurance Policy ID Number,-10,Not Known
E07_10,Insurance Policy ID Number,-5,Not Available
E07_10,Insurance Policy ID Number,10001,Relevant Value for Data Element & Patient Care
E07_11,Last Name of the Insured,-25,Not Applicable
E07_11,Last Name of the Insured,-15,Not Reporting
E07_11,Last Name of the Insured,-10,Not Known
E07_11,Last Name of the Insured,-5,Not Available
E07_11,Last Name of the Insured,10001,Relevant Value for Data Element & Patient Care
E07_12,First Name of the Insured,-25,Not Applicable
E07_12,First Name of the Insured,-10,Not Known
E07_12,First Name of the Insured,-5,Not Available
E07_12,First Name of the Insured,10001,Relevant Value for Data Element & Patient Care
E07_13,Middle Initial/Name of the Insured,-25,Not Applicable
E07_13,Middle Initial/Name of the Insured,-10,Not Known
E07_13,Middle Initial/Name of the Insured,-5,Not Available
E07_13,Middle Initial/Name of the Insured,10001,Relevant Value for Data Element & Patient Care
E07_14,Relationship to the Insured,-25,Not Applicable
E07_14,Relationship to the Insured,-10,Not Known
E07_14,Relationship to the Insured,-5,Not Available
E07_14,Relationship to the Insured,770,Self
E07_14,Relationship to the Insured,775,Spouse
E07_14,Relationship to the Insured,780,Son/Daughter
E07_14,Relationship to the Insured,785,Other
E07_15,Work-Related,-25,Not Applicable
E07_15,Work-Related,-10,Not Known
E07_15,Work-Related,-5,Not Available
E07_15,Work-Related,0,No
E07_15,Work-Related,1,Yes
E07_16,Patient’s Occupational Industry,-25,Not Applicable
E07_16,Patient’s Occupational Industry,-10,Not Known
E07_16,Patient’s Occupational Industry,-5,Not Available
E07_16,Patient’s Occupational Industry,790,Construction
E07_16,Patient’s Occupational Industry,795,"Finance, Insurance, and Real Estate"
E07_16,Patient’s Occupational Industry,800,Government
E07_16,Patient’s Occupational Industry,805,Manufacturing
E07_16,Patient’s Occupational Industry,810,Mining
E07_16,Patient’s Occupational Industry,815,Retail Trade
E07_16,Patient’s Occupational Industry,820,Services
E07_16,Patient’s Occupational Industry,825,Transportation and Public Utilities
E07_16,Patient’s Occupational Industry,830,Wholesale Trade
E07_17,Patient’s Occupation,-25,Not Applicable
E07_17,Patient’s Occupation,-10,Not Known
E07_17,Patient’s Occupation,-5,Not Available
E07_17,Patient’s Occupation,835,Management Occupations
E07_17,Patient’s Occupation,840,Business and Financial Operations Occupations
E07_17,Patient’s Occupation,845,Computer and Mathematical Occupations
E07_17,Patient’s Occupation,850,Architecture and Engineering Occupations
E07_17,Patient’s Occupation,855,"Life, Physical, and Social Science Occupations"
E07_17,Patient’s Occupation,860,Community and Social Services Occupations
E07_17,Patient’s Occupation,865,Legal Occupations
E07_17,Patient’s Occupation,870,"Education, Training, and Library Occupations"
E07_17,Patient’s Occupation,875,"Arts, Design, Entertainment, Sports, and Media Occupations"
E07_17,Patient’s Occupation,880,Healthcare Practitioners and Technical Occupations
E07_17,Patient’s Occupation,885,Healthcare Support Occupations
E07_17,Patient’s Occupation,890,Protective Service Occupations
E07_17,Patient’s Occupation,895,Food Preparation and Serving Related Occupations
E07_17,Patient’s Occupation,900,Building and Grounds Cleaning and Maintenance Occupations
E07_17,Patient’s Occupation,905,Personal Care and Service Occupations
E07_17,Patient’s Occupation,910,Sales and Related Occupations
E07_17,Patient’s Occupation,915,Office and Administrative Support Occupations
E07_17,Patient’s Occupation,920,"Farming, Fishing and Forestry Occupations"
E07_17,Patient’s Occupation,925,Construction and Extraction Occupations
E07_17,Patient’s Occupation,930,"Installation, Maintenance, and Repair Occupations"
E07_17,Patient’s Occupation,935,Production Occupations
E07_17,Patient’s Occupation,940,Transportation and Material Moving Occupations
E07_17,Patient’s Occupation,945,Military Specific Occupations
E07_18,Closest Relative/Guardian Last Name,-25,Not Applicable
E07_18,Closest Relative/Guardian Last Name,-10,Not Known
E07_18,Closest Relative/Guardian Last Name,-5,Not Available
E07_18,Closest Relative/Guardian Last Name,10001,Relevant Value for Data Element & Patient Care
E07_19,First Name of the Closest Relative/ Guardian,-25,Not Applicable
E07_19,First Name of the Closest Relative/ Guardian,-10,Not Known
E07_19,First Name of the Closest Relative/ Guardian,-5,Not Available
E07_19,First Name of the Closest Relative/ Guardian,10001,Relevant Value for Data Element & Patient Care
E07_20,Middle Initial/Name of the Closest Relative/ Guardian,-25,Not Applicable
E07_20,Middle Initial/Name of the Closest Relative/ Guardian,-10,Not Known
E07_20,Middle Initial/Name of the Closest Relative/ Guardian,-5,Not Available
E07_20,Middle Initial/Name of the Closest Relative/ Guardian,10001,Relevant Value for Data Element & Patient Care
E07_21,Closest Relative/ Guardian Street Address,-25,Not Applicable
E07_21,Closest Relative/ Guardian Street Address,-10,Not Known
E07_21,Closest Relative/ Guardian Street Address,-5,Not Available
E07_21,Closest Relative/ Guardian Street Address,10001,Relevant Value for Data Element & Patient Care
E07_22,Closest Relative/ Guardian City,-25,Not Applicable
E07_22,Closest Relative/ Guardian City,-10,Not Known
E07_22,Closest Relative/ Guardian City,-5,Not Available
E07_22,Closest Relative/ Guardian City,10001,Relevant Value for Data Element & Patient Care
E07_23,Closest Relative/ Guardian State,-25,Not Applicable
E07_23,Closest Relative/ Guardian State,-10,Not Known
E07_23,Closest Relative/ Guardian State,-5,Not Available
E07_23,Closest Relative/ Guardian State,10001,Relevant Value for Data Element & Patient Care
E07_24,Closest Relative/ Guardian Zip Code,-25,Not Applicable
E07_24,Closest Relative/ Guardian Zip Code,-10,Not Known
E07_24,Closest Relative/ Guardian Zip Code,-5,Not Available
E07_24,Closest Relative/ Guardian Zip Code,10001,Relevant Value for Data Element & Patient Care
E07_25,Closest Relative/  Guardian Phone  Number,-25,Not Applicable
E07_25,Closest Relative/  Guardian Phone  Number,-10,Not Known
E07_25,Closest Relative/  Guardian Phone  Number,-5,Not Available
E07_25,Closest Relative/  Guardian Phone  Number,10001,Relevant Value for Data Element & Patient Care
E07_26,Closest Relative/ Guardian  Relationship,-25,Not Applicable
E07_26,Closest Relative/ Guardian  Relationship,-10,Not Known
E07_26,Closest Relative/ Guardian  Relationship,-5,Not Available
E07_26,Closest Relative/ Guardian  Relationship,950,Appointed Guardian
E07_26,Closest Relative/ Guardian  Relationship,955,Father
E07_26,Closest Relative/ Guardian  Relationship,960,Mother
E07_26,Closest Relative/ Guardian  Relationship,965,Other
E07_26,Closest Relative/ Guardian  Relationship,970,Son/Daughter
E07_26,Closest Relative/ Guardian  Relationship,975,Spouse
E07_27,Patient's Employer,-25,Not Applicable
E07_27,Patient's Employer,-10,Not Known
E07_27,Patient's Employer,-5,Not Available
E07_27,Patient's Employer,10001,Relevant Value for Data Element & Patient Care
E07_28,Patient's Employer's Address,-25,Not Applicable
E07_28,Patient's Employer's Address,-10,Not Known
E07_28,Patient's Employer's Address,-5,Not Available
E07_28,Patient's Employer's Address,10001,Relevant Value for Data Element & Patient Care
E07_29,Patient’s Employer’s City,-25,Not Applicable
E07_29,Patient’s Employer’s City,-10,Not Known
E07_29,Patient’s Employer’s City,-5,Not Available
E07_29,Patient’s Employer’s City,10001,Relevant Value for Data Element & Patient Care
E07_30,Patient’s Employer’s State,-25,Not Applicable
E07_30,Patient’s Employer’s State,-10,Not Known
E07_30,Patient’s Employer’s State,-5,Not Available
E07_30,Patient’s Employer’s State,10001,Relevant Value for Data Element & Patient Care
E07_31,Patient’s Employer’s Zip Code,-25,Not Applicable
E07_31,Patient’s Employer’s Zip Code,-10,Not Known
E07_31,Patient’s Employer’s Zip Code,-5,Not Available
E07_31,Patient’s Employer’s Zip Code,10001,Relevant Value for Data Element & Patient Care
E07_32,Patient's Work Telephone Number,-25,Not Applicable
E07_32,Patient's Work Telephone Number,-10,Not Known
E07_32,Patient's Work Telephone Number,-5,Not Available
E07_32,Patient's Work Telephone Number,10001,Relevant Value for Data Element & Patient Care
E07_33,Response Urgency,-25,Not Applicable
E07_33,Response Urgency,-10,Not Known
E07_33,Response Urgency,-5,Not Available
E07_33,Response Urgency,980,Immediate
E07_33,Response Urgency,985,Non-Immediate
E07_34,CMS Service Level,-25,Not Applicable
E07_34,CMS Service Level,-15,Not Reporting
E07_34,CMS Service Level,-10,Not Known
E07_34,CMS Service Level,-5,Not Available
E07_34,CMS Service Level,990,BLS
E07_34,CMS Service Level,995,"BLS, Emergency"
E07_34,CMS Service Level,1000,"ALS, Level 1"
E07_34,CMS Service Level,1005,"ALS, Level 1 Emergency"
E07_34,CMS Service Level,1010,"ALS, Level 2"
E07_34,CMS Service Level,1015,Paramedic Intercept
E07_34,CMS Service Level,1020,Specialty Care Transport
E07_34,CMS Service Level,1025,Fixed Wing (Airplane)
E07_34,CMS Service Level,1030,Rotary Wing (Helicopter)
E07_35,Condition Code Number,-25,Not Applicable
E07_35,Condition Code Number,-15,Not Reporting
E07_35,Condition Code Number,-10,Not Known
E07_35,Condition Code Number,-5,Not Available
E07_35,Condition Code Number,8001,Severe Abdominal Pain (ALS-789.00)
E07_35,Condition Code Number,8002,Abdominal Pain (ALS-789.00)
E07_35,Condition Code Number,8003,Abnormal Cardiac Rhythm/Cardiac Dysrhythmia (ALS-427.9)
E07_35,Condition Code Number,8004,Abnormal Skin Signs (ALS-780.8)
E07_35,Condition Code Number,8005,Abnormal Vital Signs (ALS-796.4)
E07_35,Condition Code Number,8006,Allergic Reaction (ALS-995.0)
E07_35,Condition Code Number,8007,Allergic Reaction (BLS-692.9)
E07_35,Condition Code Number,8008,Blood Glucose (ALS-790.21)
E07_35,Condition Code Number,8009,Respiratory Arrest (ALS-799.1)
E07_35,Condition Code Number,8010,Difficulty Breathing (ALS-786.05)
E07_35,Condition Code Number,8011,Cardiac Arrest-Resuscitation in Progress (ALS-427.5)
E07_35,Condition Code Number,8012,Chest Pain (non-traumatic) (ALS-786.50)
E07_35,Condition Code Number,8013,Choking Episode (ALS-784.9)
E07_35,Condition Code Number,8014,Cold Exposure (ALS-991.6)
E07_35,Condition Code Number,8015,Cold Exposure (BLS-991.9)
E07_35,Condition Code Number,8016,Altered Level of Consciousness (non-traumatic) (ALS-780.01)
E07_35,Condition Code Number,8017,Convulsions/Seizures (ALS-780.39)
E07_35,Condition Code Number,8018,Eye Symptoms (non-traumatic) (BLS-379.90)
E07_35,Condition Code Number,8019,Non Traumatic Headache (ALS-437.9)
E07_35,Condition Code Number,8020,Cardiac Symptoms other than Chest Pain (palpitations) (ALS-785.1)
E07_35,Condition Code Number,8021,Cardiac Symptoms other than Chest Pain (atypical pain) (ALS-536.2)
E07_35,Condition Code Number,8022,Heat Exposure (ALS-992.5)
E07_35,Condition Code Number,8023,Heat Exposure (BLS-992.2)
E07_35,Condition Code Number,8024,Hemorrhage (ALS-459.0)
E07_35,Condition Code Number,8025,Infectious Diseases requiring Isolation/Public Health Risk (BLS-038.9)
E07_35,Condition Code Number,8026,Hazmat Exposure (ALS-987.9)
E07_35,Condition Code Number,8027,Medical Device Failure (ALS-996.0)
E07_35,Condition Code Number,8028,Medical Device Failure (BLS-996.3)
E07_35,Condition Code Number,8029,Neurologic Distress (ALS-436.0)
E07_35,Condition Code Number,8030,Pain (Severe) (ALS-780.99)
E07_35,Condition Code Number,8031,Back Pain (non-traumatic possible cardiac or vascular) (ALS-724.5)
E07_35,Condition Code Number,8032,Back Pain (non-traumatic with neurologic symptoms) (ALS-724.9)
E07_35,Condition Code Number,8033,Poisons (all routes) (ALS-977.9)
E07_35,Condition Code Number,8034,Alcohol Intoxication or Drug Overdose (BLS-305.0)
E07_35,Condition Code Number,8035,Severe Alcohol Intoxication (ALS-977.3)
E07_35,Condition Code Number,8036,Post-Operative Procedure Complications (BLS-998.9)
E07_35,Condition Code Number,8037,Pregnancy Complication/Childbirth/Labor (ALS-650.0)
E07_35,Condition Code Number,8038,Psychiatric/Behavioral (abnormal mental status) (ALS-292.9)
E07_35,Condition Code Number,8039,Psychiatric/Behavioral (threat to self or others) (BLS-298.9)
E07_35,Condition Code Number,8040,Sick Person-Fever (BLS-036.9)
E07_35,Condition Code Number,8041,Severe Dehydration (ALS-787.01)
E07_35,Condition Code Number,8042,Unconscious/Syncope/Dizziness (ALS-780.02)
E07_35,Condition Code Number,8043,Major Trauma (ALS-959.8)
E07_35,Condition Code Number,8044,Other Trauma (need for monitor or airway) (ALS-518.5)
E07_35,Condition Code Number,8045,Other Trauma (major bleeding) (ALS-958.2)
E07_35,Condition Code Number,8046,Other Trauma (fracture/dislocation) (BLS-829.0)
E07_35,Condition Code Number,8047,Other Trauma (penetrating extremity) (BLS-880.0)
E07_35,Condition Code Number,8048,Other Trauma (amputation digits) (BLS-886.0)
E07_35,Condition Code Number,8049,Other Trauma (amputation other) (ALS-887.4)
E07_35,Condition Code Number,8050,Other Trauma (suspected internal injuries) (ALS-869.0)
E07_35,Condition Code Number,8051,Burns-Major (ALS-949.3)
E07_35,Condition Code Number,8052,Burns-Minor (BLS-949.2)
E07_35,Condition Code Number,8053,Animal Bites/Sting/Envenomation (ALS-989.5)
E07_35,Condition Code Number,8054,Animal Bites/Sting/Envenomation (BLS-879.8)
E07_35,Condition Code Number,8055,Lightning (ALS-994.0)
E07_35,Condition Code Number,8056,Electrocution (ALS-994.8)
E07_35,Condition Code Number,8057,Near Drowning (ALS-994.1)
E07_35,Condition Code Number,8058,Eye Injuries (BLS-921.9)
E07_35,Condition Code Number,8059,Sexual Assault (major injuries) (ALS-995.83)
E07_35,Condition Code Number,8060,Sexual Assault (minor injuries) (BLS-995.8)
E07_35,Condition Code Number,8061,Cardiac/Hemodynamic Monitoring Required (ALS-428.9)
E07_35,Condition Code Number,8062,Advanced Airway Management (ALS-518.81)
E07_35,Condition Code Number,8063,IV Meds Required (ALS-No ICD code provided))
E07_35,Condition Code Number,8064,Chemical Restraint (ALS-293.0)
E07_35,Condition Code Number,8065,Suctioning/Oxygen/IV fluids required (BLS-496.0)
E07_35,Condition Code Number,8066,Airway Control/Positioning Required (BLS-786.09)
E07_35,Condition Code Number,8067,Third Party Assistance/Attendant Required (BLS-496.0)
E07_35,Condition Code Number,8068,Patient Safety (restraints required) (BLS-298.9)
E07_35,Condition Code Number,8069,Patient Safety (monitoring required) (BLS-293.1)
E07_35,Condition Code Number,8070,Patient Safety (seclusion required) (BLS-298.8)
E07_35,Condition Code Number,8071,Patient Safety (risk of falling off stretcher) (BLS-781.3)
E07_35,Condition Code Number,8072,Special Handling (Isolation) (BLS-041.9)
E07_35,Condition Code Number,8073,Special Handling (orthopedic device required) (BLS-907.2)
E07_35,Condition Code Number,8074,Special Handling (positioning required) (BLS-719.45)
E07_36,ICD-9 Code for the Condition Code Number,-25,Not Applicable
E07_36,ICD-9 Code for the Condition Code Number,-10,Not Known
E07_36,ICD-9 Code for the Condition Code Number,-5,Not Available
